region, boya_temp, boya_salinidad, est_temp, est_pto_rocio, est_presion, est_presion_est_m, est_veloc_viento_m, est_temp_max, est_temp_min, caudal
Tumbes, 24.09, 34.447, 81.1631578947, 73.7684210526, 1483.12631579, 1479.63157895, 4.33157894737, 87.7473684211, 73.5526315789, 312.213846154
Tumbes, 26.669, 34.929, 81.6947368421, 74.5736842105, 1010.71578947, 1007.21578947, 3.45263157895, 87.7157894737, 73.2263157895, 693.79
Tumbes, 25.075, 34.832, 82.7421052632, 74.5, 1482.35263158, 1479.18421053, 3.54736842105, 90.1263157895, 74.3578947368, 160.105882353
Tumbes, 23.689, 34.943, 82.2368421053, 74.6368421053, 1483.92631579, 1480.75263158, 3.57368421053, 88.4684210526, 73.6368421053, 140.7125
Tumbes, 23.8285, 34.37, 81.1157894737, 73.0473684211, 1483.28947368, 1480.12631579, 3.42105263158, 87.8684210526, 72.3684210526, 89.8736842105
Tumbes, 23.239, 34.929, 81.0157894737, 71.5578947368, 1956.08421053, 1953.11052632, 3.74736842105, 87.7263157895, 71.7578947368, 56.2
Tumbes, 26.022, 34.651, 81.9368421053, 72.7421052632, 1009.40526316, 1005.95789474, 4.84736842105, 88.6789473684, 74.0263157895, 20.135
Tumbes, 26.022, 34.651, 82.9157894737, 72.2, 1481.56842105, 1478.13157895, 4.88947368421, 89.4421052632, 75.0052631579, 17.8588235294
Tumbes, 28.167, 35.134, 83.5368421053, 75.0789473684, 1008.4, 1005.26842105, 55.9736842105, 89.9842105263, 77.2526315789, 96.625
Tumbes, 28.2992, 35.0126, 82.0947368421, 75.5578947368, 1957.20526316, 1954.25789474, 210.505263158, 87.7, 76.4421052632, 466.515384615
Tumbes, 28.0515714286, 35.1074285714, 83.8894736842, 74.9368421053, 1956.74736842, 1953.73684211, 3.13157894737, 89.6736842105, 77.5263157895, 188.190909091
Tumbes, 24.8831666667, 35.0576666667, 82.3421052632, 74.4526315789, 1010.07368421, 1006.92105263, 3.22631578947, 88.3263157895, 75.1578947368, 332.345
Tumbes, 23.6505, 35.1016666667, 81.7263157895, 72.3684210526, 1011.01578947, 1007.75263158, 3.75263157895, 88.5, 72.3368421053, 98.6944444444
Tumbes, 20.8055, 35.0655, 79.875, 69.85, 1011.4875, 1008.38125, 4.1125, 86.35625, 69.69375, 44.1764705882
Piura, 25.915, 34.783, 83.2447368421, 69.7921052632, 5505.11315789, 5502.94736842, 84.3368421053, 90.8263157895, 76.8842105263, 87.2204255319
