PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,0.68,28.49,35.22,00111111,6712_007336_000,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],0,2
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,86.72,16.484,35.209,00111111,6712_007336_000,PRES,none,PRES,Near-surface sampling: discrete, pumped [deepest and shallowest polling from the same SBE41CP],0,2
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,1.08,28.498,35.213,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,2.04,28.498,35.217,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,3.04,28.497,35.218,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,3.96,28.497,35.218,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,5,28.497,35.217,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,6,28.494,35.215,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,7,28.496,35.218,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,7.96,28.499,35.22,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,8.96,28.5,35.217,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,9.96,28.502,35.221,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,11.96,28.504,35.22,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,13.96,28.504,35.219,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,16,28.485,35.221,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,18,28.467,35.219,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,19.92,28.335,35.239,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,21.96,27.566,35.379,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,24,26.74,35.429,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,26.04,26.419,35.435,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,28.04,25.938,35.43,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,30,25.345,35.431,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
3901233,n/a,2016-03-13T01:10:20Z,-4.9992,-85.0032,32,24.989,35.41,00111111,6712_007336_000,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],0,1
