PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,1.08,28.302,34.999,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,2,28.307,34.998,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,3.04,28.286,35.006,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,4,28.24,35,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,5,28.203,34.997,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,6,28.153,34.999,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,7.04,28.035,35,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,8,27.881,34.995,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,9,27.688,35.016,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,10,27.242,35.001,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,12.08,26.794,34.958,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,13.96,26.186,34.929,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,16,25.726,34.897,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,18,25.355,34.89,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,20,24.976,34.902,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,22,24.591,34.892,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,24.04,24.117,34.902,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,26,23.481,34.933,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,27.92,22.575,35.178,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,29.96,20.819,35.169,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,32,20.545,35.145,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
