PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,2.7,24.154,35.309,35.309,24.154,2.57,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,4,24.154,35.31,35.31,24.154,3.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,6,24.155,35.31,35.31,24.155,5.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,8,24.155,35.31,35.31,24.155,7.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,10,24.153,35.31,35.31,24.153,9.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,12,24.152,35.31,35.31,24.152,11.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,14,24.149,35.31,35.31,24.149,13.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,16,24.15,35.31,35.31,24.15,15.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,18,24.15,35.31,35.31,24.15,17.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,20,24.142,35.31,35.31,24.142,19.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,Primary sampling: mixed [deep: discrete, shallow:continuous],87,1
