Fecha, Departamento, Cuenca, Hidroelectrica, Caudal, Anomalia_Hidrica
20150312, Tumbes , Tumbes, El Tigre, 104.9, -64
20150312, Piura , Chira-Piura, El Ciruelo, 99.3, -58
20150312, Piura , Calvas-Maca, Pte. Interna, 37.0, -50
20150312, Piura , Piura, Sanchez, -, -
20150312, Piura , Piura, Pte. Nacara, 2.4, -98
20150312, La Libertad , Jequetepeque, Yonan, 41.3, -45
20150312, Lambayeque , Chan. Lamb., Racarumi, 52.5, -18
20150312, Lima , Cha. Huaral, Sto. Domingo, -, -
20150312, Lima , Chillon, Obrajillo, 11.6, -2
20150312, Lima , Rimac, Chosica, 44.9, -31
20150312, Lima , Mala, La Capilla, 43.8, -38
20150312, Lima , Canete, Socsi, -, -
20150312, Ica , Ica, Los Molinos, 20.4, -38
20150312, Arequipa , Ocona, Pte. Ocona, 246.4, -11
20150312, Arequipa , Camana, Huatiapa, 117.9, -45
20150313, Tumbes , Tumbes, El Tigre, 108.6, -61
20150313, Piura , Chira-Piura, El Ciruelo, 91.7, -63
20150313, Piura , Calvas-Maca, Pte. Interna, 29.0, -69
20150313, Piura , Piura, Sanchez, 0.0, -100
20150313, Piura , Piura, Pte. Nacara, 0.0, -100
20150313, La Libertad , Jequetepeque, Yonan, 36.6, -59
20150313, Lambayeque , Chan. Lamb., Racarumi, 40.7, -38
20150313, Lima , Cha. Huaral, Sto. Domingo, -, -
20150313, Lima , Chillon, Obrajillo, 10.9, -10
20150313, Lima , Rimac, Chosica, 39.2, -44
20150313, Lima , Mala, La Capilla, 43.8, -38
20150313, Lima , Canete, Socsi, -, -
20150313, Ica , Ica, Los Molinos, 9.6, -66
20150313, Arequipa , Ocona, Pte. Ocona, 207.2, -17
20150313, Arequipa , Camana, Huatiapa, 107.8, -47
20150313, Tumbes , Tumbes, El Tigre, 108.6, -61
20150313, Piura , Chira-Piura, El Ciruelo, 87.93, -65
20150313, Piura , Calvas-Maca, Pte. Interna, 29.0, -69
20150313, Piura , Piura, Sanchez, 0.0, -100
20150313, Piura , Piura, Pte. Nacara, 0.0, -100
20150313, La Libertad , Jequetepeque, Yonan, 36.5, -57
20150313, Lambayeque , Chan. Lamb., Racarumi, 40.7, -38
20150313, Lima , Cha. Huaral, Sto. Domingo, -, -
20150313, Lima , Chillon, Obrajillo, 10.62, -22
20150313, Lima , Rimac, Chosica, 41.02, -44
20150313, Lima , Mala, La Capilla, 43.8, -38
20150313, Lima , Canete, Socsi, -, -
20150313, Pisco, Letrayoc, -, -66
20150313, Arequipa , Ocona, Pte. Ocona, 239.19, 2
20150313, Arequipa , Camana, Huatiapa, 108.91, -42
20150314, Tumbes , Tumbes, El Tigre, 108.6, -61
20150314, Piura , Chira-Piura, El Ciruelo, 87.93, -65
20150314, Piura , Calvas-Maca, Pte. Interna, 29.0, -69
20150314, Piura , Piura, Sanchez, 0.0, -100
20150314, Piura , Piura, Pte. Nacara, 0.0, -100
20150314, La Libertad , Jequetepeque, Yonan, 36.5, -57
20150314, Lambayeque , Chan. Lamb., Racarumi, 40.7, -38
20150314, Lima , Cha. Huaral, Sto. Domingo, -, -
20150314, Lima , Chillon, Obrajillo, 10.62, -22
20150314, Lima , Rimac, Chosica, 41.02, -44
20150314, Lima , Mala, La Capilla, 43.8, -38
20150314, Lima , Canete, Socsi, -, -
20150314, Pisco, Letrayoc, -, -66
20150314, Arequipa , Ocona, Pte. Ocona, 239.19, 2
20150314, Arequipa , Camana, Huatiapa, 108.91, -42
20150315, Tumbes , Tumbes, El Tigre, 212.0, -44
20150315, Piura , Chira-Piura, El Ciruelo, 85.5, -67
20150315, Piura , Calvas-Maca, Pte. Interna, 29.0, -69
20150315, Piura , Piura, Sanchez, 0.0, -100
20150315, Piura , Piura, Pte. Nacara, 0.0, -100
20150315, La Libertad , Jequetepeque, Yonan, 50.8, -42
20150315, Lambayeque , Chan. Lamb., Racarumi, 57.9, -15
20150315, Lima , Cha. Huaral, Sto. Domingo, -, -
20150315, Lima , Chillon, Obrajillo, 10.8, -27
20150315, Lima , Rimac, Chosica, 40.4, -46
20150315, Lima , Mala, La Capilla, 43.8, -38
20150315, Lima , Canete, Socsi, -, -
20150315, Ica , Ica, Los Molinos, 15.3, -51
20150315, Arequipa , Ocona, Pte. Ocona, 235.0, -1
20150315, Arequipa , Camana, Huatiapa, 104.7, -38
20150316, Tumbes , Tumbes, El Tigre, 197.9, -48
20150316, Piura , Chira-Piura, El Ciruelo, 99.9, -62
20150316, Piura , Calvas-Maca, Pte. Interna, 44.0, -46
20150316, Piura , Piura, Sanchez, 0.0, -100
20150316, Piura , Piura, Pte. Nacara, 1.1, -99
20150316, La Libertad , Jequetepeque, Yonan, 53.7, -36
20150316, Lambayeque , Chan. Lamb., Racarumi, 72.7, 1
20150316, Lima , Cha. Huaral, Sto. Domingo, -, -
20150316, Lima , Chillon, Obrajillo, 11.7, -14
20150316, Lima , Rimac, Chosica, 39.0, -48
20150316, Lima , Mala, La Capilla, 45.8, -29
20150316, Lima , Canete, Socsi, -, -
20150316, Ica , Ica, Los Molinos, 21.6, -48
20150316, Arequipa , Ocona, Pte. Ocona, 229.4, -10
20150316, Arequipa , Camana, Huatiapa, 109.1, -36
20150317, Tumbes , Tumbes, El Tigre, 189.7, -48
20150317, Piura , Chira-Piura, El Ciruelo, 88.3, -67
20150317, Piura , Calvas-Maca, Pte. Interna, 44.0, -46
20150317, Piura , Piura, Sanchez, 0.0, -100
20150317, Piura , Piura, Pte. Nacara, 1.1, -99
20150317, La Libertad , Jequetepeque, Yonan, 68.7, -17
20150317, Lambayeque , Chan. Lamb., Racarumi, 141.7, 106
20150317, Lima , Cha. Huaral, Sto. Domingo, -, -
20150317, Lima , Chillon, Obrajillo, 12.3, -8
20150317, Lima , Rimac, Chosica, 49.3, -32
20150317, Lima , Mala, La Capilla, 56.6, -9
20150317, Lima , Canete, Socsi, -, -
20150317, Ica , Ica, Los Molinos, 22.8, -37
20150317, Arequipa , Ocona, Pte. Ocona, 232.3, -6
20150317, Arequipa , Camana, Huatiapa, 113.4, -31
20150318, Tumbes , Tumbes, El Tigre, 228.6, -41
20150318, Piura , Chira-Piura, El Ciruelo, 103.4, -61
20150318, Piura , Calvas-Maca, Pte. Interna, 88.0, 1
