STN---,WBAN , YEARMODA,   TEMP,TEMP+,   DEWP, DEWP+,  SLP  , SLP+,  STP  , STP+ , VISIB, VISIB+,  WDSP, WDSP+, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
843700,99999, 20150201,   79.9,14,   72.6,14, 1010.4, 6, 1007.0, 6,   6.2,14,   4.4,14,   9.9, 999.9,   86.0 ,  76.1 , 0.00I,999.9, 000000,
843700,99999, 20150202,   82.9,15,   70.6,15, 1010.0, 6, 1006.6, 6,   6.2,15,   4.6,15,   9.9, 999.9,   89.6,  73.4 , 0.00I,999.9, 000000,
843700,99999, 20150203,   82.3,15,   72.8,15, 1009.2, 4, 1005.5, 4,   6.2,15,   5.8,15,  11.1, 999.9,   89.4 ,  70.5 , 0.00I,999.9, 000000,
843700,99999, 20150204,   81.3,16,   71.4,16, 1009.4, 5, 1006.0, 5,   6.2,16,   6.0,16,   9.9, 999.9,   88.7 ,  70.9 , 0.00I,999.9, 000000,
843700,99999, 20150205,   81.6,16,   72.6,16, 1009.1, 4, 1005.7, 4,   6.2,16,   4.2,16,   9.9, 999.9,   88.2 ,  75.2, 0.00I,999.9, 000000,
843700,99999, 20150206,   82.2,16,   72.2,16, 1010.5, 6, 1007.1, 6,   6.2,16,   4.9,16,  11.1, 999.9,   89.6,  73.4 , 0.00G,999.9, 000000,
843700,99999, 20150207,   80.4,16,   72.7,16, 1011.9, 6, 1008.6, 6,   6.2,16,   4.4,16,   8.0, 999.9,   90.0 ,  71.8 , 2.24G,999.9, 000000,
843700,99999, 20150208,   80.4,16,   73.5,16, 1011.9, 5, 1008.6, 5,   6.2,16,   5.4,16,   9.9, 999.9,   87.8 ,  71.4 , 0.00G,999.9, 000000,
843700,99999, 20150209,   80.7,16,   72.4,16, 1013.4, 5, 1010.0, 5,   6.2,16,   5.8,16,   9.9, 999.9,   86.0 ,  72.5 , 0.00I,999.9, 000000,
843700,99999, 20150210,   83.3,16,   71.7,16, 1010.9, 6, 1007.6, 6,   6.2,16,   4.8,16,  11.1, 999.9,   89.6,  74.7 , 0.00I,999.9, 000000,
